"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"1206","ENST00000453304.6",2,"95222210;95247946","95222266;95248616",0,NA,NA,0,NA,NA,0,NA,NA,1,"95216043","95216124",1,"95335631","95335632",1,"95548973","95549206",0,NA,NA
"902","ENST00000572992.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"11249627;11295216;11312829","11249778;11295294;11312900",1,"11345450;11350642;11379822;11380798","11345766;11351760;11379887;11381662"
"1001","ENST00000651600.1",1,"154489942","154490027",0,NA,NA,0,NA,NA,2,"154488497;154490359","154488583;154490593",0,NA,NA,0,NA,NA,1,"154490629","154490690",1,"154487306","154487311"
"215","ENST00000397721.4",6,"122386295;122393196;122414068;122436360;122480852;122585512","122386309;122393315;122414076;122436380;122480860;122585761",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"122621529;122629248;122663237;122736955;122885999","122621717;122629328;122663569;122737068;122886759",1,"122318411","122320037"
"204","ENST00000542800.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"197902630","197902913",1,"197907364","197907367"
"1225","ENST00000226218.9",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"28373012","28373091",0,NA,NA
"880","ENST00000661174.1",0,NA,NA,0,NA,NA,1,"46247769;46248399","46247801;46248408",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"46248584;46250000;46258686;46259964;46260542;46260727;46261261;46267459;46270659;46271368;46272466;46272672;46273355;46273624;46274138;46274538;46277817;46278072","46248598;46250119;46258746;46260161;46260611;46261074;46261385;46267609;46270785;46271442;46272540;46272802;46273465;46273747;46274216;46274717;46277980;46278473"
"1082","ENST00000395930.6",3,"15310873;15338446;15340422","15311012;15338556;15340519",0,NA,NA,0,NA,NA,1,"15331326","15331339",1,"15327770","15327992",2,"15308818;15314230","15308863;15314279",1,"15341597","15341632",1,"15303811","15303812"
"235","ENST00000459785.1",0,NA,NA,0,NA,NA,1,"30285832;30286016;30286263;30286542","30285926;30286098;30286376;30286951",0,NA,NA,1,"30287155","30287222",1,"30285434","30285688",1,"30287439;30287790;30287889;30288706;30289023;30289297","30287560;30287862;30287950;30288776;30289179;30289622",0,NA,NA
"472","ENST00000399913.5",0,NA,NA,0,NA,NA,1,"29537706;29537798;29553252","29537778;29537884;29553704",0,NA,NA,1,"29598794","29598830",0,NA,NA,1,"29939674","29940033",0,NA,NA
"1195","ENST00000668596.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"99196374;99200330","99197548;99200638",0,NA,NA,1,"99200705","99200757",1,"99181223","99181564"
"150","ENST00000651117.1",2,"161103113;161103958","161103205;161104105",0,NA,NA,1,"161104507;161104785;161105003","161104549;161104994;161105226",1,"161085874","161086000",0,NA,NA,2,"161090062;161104406","161092179;161104460",0,NA,NA,1,"161083883","161083934"
"13","ENST00000580477.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"21656956;21657104;21659170;21663678;21683781;21701276;21703584;21704504","21657026;21657152;21659343;21664534;21683965;21702498;21703825;21704780",1,"21650901","21651763"
"633","ENST00000560491.2",1,"51737350","51737655",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"51751271","51751437",1,"51723011","51723238"
"727","ENST00000444866.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"190120252;190122203","190120897;190122437",1,"189956728;189963459;189970816;189971548;189972874;189973909;189974558;189983046;189984550;189986788;189987527","189958004;189964121;189970891;189972007;189973024;189974190;189974685;189983484;189984590;189986877;189987765"
"710","ENST00000669443.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"77128246;77130589;77139401;77142709;77147798;77155907;77156660;77156862;77157279;77158277;77159447;77160163;77160973;77162120;77162853","77128489;77130652;77139480;77142822;77147950;77156091;77156781;77157004;77157392;77158430;77159523;77160282;77161115;77162330;77162988",1,"77174756;77175372;77177549;77179045;77179735;77180374;77181380;77181951;77182424;77183059;77184588;77184735;77184804;77189344;77190020;77190697;77192051;77194032;77194354;77197481;77198495;77199535;77201448;77202300;77203060;77204076;77205462;77206097;77206996;77208430;77208697;77211152;77211821;77212614;77212952;77213860;77214607","77174914;77175464;77177643;77179129;77179953;77180481;77181589;77182154;77182600;77183157;77184715;77184798;77184989;77189470;77190139;77191187;77192278;77194141;77194524;77197598;77198621;77199818;77201638;77202424;77203217;77204229;77205617;77206202;77207402;77208517;77209356;77211337;77211937;77212660;77213035;77213979;77215241"
"689","ENST00000573318.1",1,"47486763","47486884",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"47492459","47492492",1,"47450568;47455106;47456684","47450878;47456154;47456793"
"1204","ENST00000665604.1",0,NA,NA,0,NA,NA,1,"15834158;15835218","15834675;15835417",0,NA,NA,0,NA,NA,1,"15830542","15831255",1,"15828579","15829037",1,"15836133","15836327"
"198","ENST00000563905.5",1,"75202205","75202426",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"75198866;75201882","75198887;75201961",0,NA,NA,1,"75206112;75206444;75210749","75206135;75209595;75212169"
"510","ENST00000437379.2",1,"13501630","13501699",0,NA,NA,0,NA,NA,0,NA,NA,2,"13501933;13502980","13502588;13503239",1,"13496588","13496736",1,"13480215;13480381;13480700","13480349;13480446;13480773",1,"13506407","13506424"
"357","ENST00000571605.1",1,"67931098","67931201",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"67930743","67930807",1,"67931862","67932365",1,"67929574","67930036"
"1125","ENST00000561457.2",0,NA,NA,0,NA,NA,0,NA,NA,1,"136114951","136115455",1,"136117866","136118072",0,NA,NA,1,"136118485","136118875",0,NA,NA
"341","ENST00000512961.5",0,NA,NA,0,NA,NA,1,"108819252;108819812","108819329;108819898",0,NA,NA,1,"108823876","108824174",0,NA,NA,1,"108824219;108825196;108827135;108832380;108834355;108838098;108841695;108844519;108845189;108846139;108848759;108852236;108852902;108854067;108859652;108860927;108862501;108863319;108869088;108884178;108889221;108889701;108896667;108899154;108901119;108918172;108920578;108920996;108937804;108940539;108941366;108942209;108974367;108974533;109010358;109048168;109050127;109300583;109301723;109302169","108824227;108825222;108827188;108832433;108834390;108838178;108841721;108844569;108845251;108846219;108848803;108852280;108852925;108854068;108859733;108860971;108862545;108863387;108869150;108884222;108889256;108889733;108896711;108899180;108901172;108918216;108920604;108920997;108937843;108940646;108941437;108942268;108974393;108974559;109010375;109048175;109050182;109300652;109302075;109302752",1,"108808725","108813699"
"586","ENST00000441020.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"210476620","210476709",0,NA,NA,1,"210476757","210476775",0,NA,NA
"137","ENST00000539558.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"27332854;27368262","27333136;27368317",1,"27380247;27385481;27387228;27389179;27390096;27400534;27401257;27401524;27402619;27403433;27415869;27418088;27420396","27380404;27385560;27387320;27389296;27390239;27400774;27401363;27401674;27402677;27403541;27415947;27418196;27425289"
"440","ENST00000464598.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"71095851;71096861","71096699;71096981",1,"71100843;71102077","71101740;71103532"
"364","ENST00000490863.5",2,"54175545;54179984","54175660;54180233",0,NA,NA,0,NA,NA,1,"54184266","54186152",1,"54190551","54190738",0,NA,NA,1,"54200011","54200036",1,"54169651","54172356"
"588","ENST00000450366.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"210476759","210476775",1,"210431249","210431251"
"1046","ENST00000649748.1",0,NA,NA,0,NA,NA,1,"48530171;48530713","48530216;48530829",0,NA,NA,0,NA,NA,0,NA,NA,1,"48529383","48529546",1,"48598502","48598513"
"838","ENST00000511565.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"177443486","177443502",1,"177444477;177445979;177447644","177444594;177446344;177447699",1,"177438503;177439914;177442803","177438870;177440031;177442960"
"519","ENST00000405990.3",0,NA,NA,0,NA,NA,1,"83626442;83628007","83627044;83628211",0,NA,NA,0,NA,NA,0,NA,NA,1,"83623049","83623166",1,"83643870","83644130"
"810","ENST00000531239.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,"67352532;67352893;67353211","67352691;67352988;67353364",1,"67353077","67353111",1,"67353539;67356743","67353579;67356972",1,"67350772","67351809"
"1052","ENST00000287380.6",1,"123102247","123104201",0,NA,NA,1,"123073249;123074920","123073431;123075033",1,"123093640","123093660",2,"123097441;123101007","123097848;123101087",1,"123127850","123128281",1,"123041968;123072682","123042365;123072707",0,NA,NA
"924","ENST00000655016.1",2,"44304981;44307845","44305043;44307948",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"44308276;44309898;44311385;44315162","44308393;44310032;44311455;44315315",1,"44299574","44303741"
"266","ENST00000618072.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"123265193","123265196",1,"123267282","123268077",1,"123268254;123269105;123270887;123271564;123272157","123268317;123269239;123271141;123271856;123272334",1,"123250112;123258748;123258977;123260274;123260826","123252542;123258930;123259148;123260503;123260943"
"599","ENST00000666319.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43385863","43387936",0,NA,NA,1,"43388505","43389199",1,"43338741;43341178;43348957;43356392;43369845;43371087;43375928","43339504;43341459;43349329;43356531;43371039;43371426;43375939"
"624","ENST00000336930.11",1,"24751455","24751542",0,NA,NA,1,"24785815;24831904;24891765;24892229","24786695;24832049;24891928;24892521",0,NA,NA,0,NA,NA,1,"24729140","24729169",1,"24496970","24497053",0,NA,NA
"374","ENST00000369305.1",1,"113854239","113854340",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"113853847","113854082",0,NA,NA,1,"113834725","113834729"
"603","ENST00000506090.5",1,"88603662","88604261",0,NA,NA,0,NA,NA,0,NA,NA,1,"88603383","88603397",1,"88603482","88603515",1,"88604864","88605110",0,NA,NA
"1227","ENST00000542029.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"28370270","28370307",0,NA,NA,1,"28367284;28367715;28368521;28368872;28369289;28369507","28367481;28368059;28368673;28369028;28369428;28369682"
"373","ENST00000361384.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"113854239;113854354","113854340;113854383",0,NA,NA
"1079","ENST00000546492.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"105489855;105490124;105490296;105490981;105491234;105491394;105491622;105492107;105492579;105493835;105495880;105497357","105490043;105490237;105490808;105491154;105491360;105491522;105491700;105492309;105492734;105493933;105496086;105497443",1,"105499229","105499575"
"403","ENST00000513602.5",1,"49717968","49718044",0,NA,NA,2,"49724394;49732280,49747181;49763892;49765577;49773342","49724527;49732377,49747263;49764131;49765706;49773457",0,NA,NA,0,NA,NA,1,"49732720","49732942",1,"49789063","49789165",1,"49710332","49710995"
"220","ENST00000437768.1",0,NA,NA,0,NA,NA,1,"91669206;91683691","91669669;91684027",0,NA,NA,0,NA,NA,1,"91685192","91685786",0,NA,NA,1,"91557292;91559535;91624099","91559027;91559658;91624351"
"688","ENST00000425159.7",2,"47455106;47486763","47456154;47486884",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"285","ENST00000582795.5",1,"65872957","65873121",0,NA,NA,1,"65797161;65804393;65826138","65797288;65804435;65826181",0,NA,NA,2,"65688230;65873504","65689129;65873637",0,NA,NA,1,"65902152;65903092;65927582;65941454;65961463;66005690;66027501;66028313;66029123;66029869;66053736;66062963;66066778;66069915;66096251;66096585;66129746;66132670;66175044;66176654;66181967;66183194;66191659;66191997","65902334;65903315;65927689;65941566;65961598;66005769;66027560;66028405;66029252;66030023;66053879;66063081;66066877;66070001;66096328;66096632;66129823;66132763;66175216;66177020;66182415;66183307;66191869;66192133",1,"65635537;65636614;65640964","65635974;65637188;65641025"
"184","ENST00000635816.1",1,"86843406","86843510",0,NA,NA,0,NA,NA,0,NA,NA,1,"86924641","86927969",1,"86929297","86929300",1,"86756601","86756919",1,"86930301","86932825"
"600","ENST00000421071.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"104756081","104757719",1,"104746638;104749322","104747151;104749384"
"407","ENST00000393708.3",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"10315492;10315759","10315553;10315795",0,NA,NA,0,NA,NA
"1019","ENST00000511531.5",1,"167234450","167234587",0,NA,NA,1,"167083238;167102438","167083246;167102557",0,NA,NA,1,"166754086","166754508",0,NA,NA,1,"167234757","167234796",1,"166733384","166733388"
"394","ENST00000587161.5",1,"5093484","5093564",0,NA,NA,0,NA,NA,0,NA,NA,1,"5095375","5095452",2,"5089256;5091895","5089428;5091938",1,"5097766","5097795",1,"5084284","5085363"
"480","ENST00000394353.7",0,NA,NA,0,NA,NA,1,"121286592;121297766;121299793;121300056","121286761;121297842;121300005;121300126",0,NA,NA,3,"121317218;121326682;121331448","121317886;121326792;121331890",1,"121311471","121312339",1,"121207794;121209296;121210236;121210784;121231165;121248276;121265154;121265661;121268060;121281470;121282439;121283319","121207897;121209397;121210329;121210867;121231303;121248323;121265297;121265754;121268219;121281562;121282550;121283392",1,"121332646","121332843"
"826","ENST00000610727.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"6515018;6580211","6515144;6580301",0,NA,NA
"1005","ENST00000479050.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"48859092;48859555;48862542;48879358;48883997;48891980;48895755;48898690","48859201;48859627;48862659;48879448;48884124;48892072;48895815;48898904",1,"48856926","48857241"
"242","ENST00000255465.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"36431520;36431903","36431776;36432166",0,NA,NA
"828","ENST00000634509.1",1,"35176698","35177362",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"35172072;35174702;35176168","35172224;35174953;35176353",0,NA,NA
"932","ENST00000437477.6",1,"130215884","130215934",0,NA,NA,1,"130176095;130183226","130176186;130183485",0,NA,NA,2,"130175758;130221526","130175841;130221637",1,"130184623","130184632",1,"130222813;130286177;130312978;130365120","130222951;130286245;130313093;130365425",1,"130144315","130144381"
"465","ENST00000472768.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"32191870;32192250","32191908;32192272",1,"32193041;32194310;32194737;32195426","32193124;32194390;32194829;32195523",0,NA,NA
"244","ENST00000625767.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"36433033","36433036",1,"36431520;36431903;36432495","36431776;36432166;36432523",0,NA,NA
"578","ENST00000539200.5",1,"97105443","97105521",0,NA,NA,1,"97010199;97041492;97062333;97064628","97010265;97041599;97062503;97064726",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"223","ENST00000265164.7",1,"109702707","109702849",0,NA,NA,0,NA,NA,0,NA,NA,1,"109694524","109694525",3,"109694700;109696486;109697768","109694701;109696495;109697779",1,"109703445","109703583",1,"109688622","109688628"
"928","ENST00000533017.1",1,"65041210","65041866",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"65040901","65040941",1,"65044673","65044828"
"449","ENST00000467772.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"93904266","93904523",0,NA,NA,1,"93908790;93909038","93908924;93909456",1,"93885199;93894614","93889159;93894644"
"207","ENST00000487113.1",0,NA,NA,0,NA,NA,1,"32807642;32810574","32807716;32810654",0,NA,NA,0,NA,NA,0,NA,NA,1,"32813679","32813743",1,"32790673","32793565"
"1245","ENST00000336755.9",0,NA,NA,0,NA,NA,3,"37120636;37121600,37144932;37147362;37186712;37284163,37326924;37327320","37120894;37121672,37144997;37147445;37187054;37284328,37327023;37327462",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"246","ENST00000288207.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"59123627","59123790",0,NA,NA,1,"59105126","59105146",0,NA,NA
"426","ENST00000540957.1",0,NA,NA,0,NA,NA,0,NA,NA,1,"64220327","64220435",0,NA,NA,0,NA,NA,1,"64206678;64207351;64207817;64210611;64211052;64211275;64211645;64219251","64206814;64207524;64207906;64210844;64211171;64211443;64211747;64219358",1,"64220450;64220835;64223048;64223313","64220669;64221140;64223189;64223886"
"818","ENST00000549651.1",0,NA,NA,0,NA,NA,0,NA,NA,1,"70243205","70243311",0,NA,NA,0,NA,NA,1,"70243360","70243379",1,"69901918;70224993;70225211;70237974","69904419;70225032;70225390;70242306"
"372","ENST00000622559.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"48706555","48706817",1,"48653711","48653729",1,"48706861","48711226"
"346","ENST00000433805.6",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"56267940","56268084",1,"56267682","56267794",1,"56266858","56267252",0,NA,NA
"641","ENST00000615911.4",1,"39392652","39392802",0,NA,NA,0,NA,NA,0,NA,NA,1,"39393637","39393660",0,NA,NA,1,"39391303","39391323",1,"39400561","39400641"
"738","ENST00000464310.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"73016861;73030267;73043887;73044981;73046925;73051053;73053351;73068846;73072029;73073731;73074808;73096766","73016899;73030370;73043957;73045051;73047101;73051249;73053590;73068983;73072180;73073827;73074915;73096974",1,"73007217","73008292"
"1099","ENST00000572393.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"4272658","4273075",1,"4257186;4260090;4260455","4258798;4260245;4260595"
"1011","ENST00000475086.5",2,"4617403;4666337","4617523;4666428",0,NA,NA,2,"4626426;4627753,4635275;4646299;4656041","4626555;4627856,4635399;4646528;4656089",0,NA,NA,1,"4625217","4625327",1,"4666256","4666307",1,"4666666","4666674",1,"4553386;4588821;4596435;4600520","4554388;4588961;4596530;4600610"
"1265","ENST00000545125.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"55642439","55642497",1,"55635016;55640985","55635712;55641183",1,"55643469","55643470"
"178","ENST00000620862.4",3,"111122670;111151822;111161419","111122923;111151893;111161550",0,NA,NA,1,"111128627;111130132;111144488","111128837;111130247;111144520",0,NA,NA,1,"111123869","111123960",0,NA,NA,0,NA,NA,0,NA,NA
"352","ENST00000389912.7",2,"70328166;70359220","70328230;70359300",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"70359683;70416900","70359700;70416984",0,NA,NA
"1269","ENST00000395091.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"30556107","30556110",0,NA,NA,0,NA,NA
"434","ENST00000471562.1",1,"99874288","99874486",0,NA,NA,0,NA,NA,1,"99850428;99851070","99850932;99851075",0,NA,NA,0,NA,NA,1,"99876104;99898127;99924230;99929856;99930769;100114053","99876203;99898762;99924408;99930029;99931030;100114513",1,"99830141","99830605"
"1255","ENST00000596504.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"51573401","51574210",1,"51581368","51581391",1,"51571283","51571304",1,"51581787;51586627;51589548","51581882;51587362;51592510"
"154","ENST00000651380.1",4,"161103113;161103958;161104507;161105003","161103205;161104105;161104549;161105226",0,NA,NA,0,NA,NA,1,"161085874","161086000",0,NA,NA,3,"161090062;161104406;161104895","161092179;161104460;161104994",1,"161105261","161105384",1,"161083883","161083920"
"1256","ENST00000600460.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"51581517","51581546",0,NA,NA,1,"51571283;51573150","51571475;51574210",1,"51589548","51592510"
"686","ENST00000493646.1",0,NA,NA,0,NA,NA,0,NA,NA,1,"100986573","100986686",0,NA,NA,0,NA,NA,1,"100987313","100987515",1,"100969458;100977821;100981376;100983755;100983948;100986274","100969904;100979372;100981543;100983817;100984074;100986276"
"457","ENST00000469383.2",0,NA,NA,0,NA,NA,0,NA,NA,1,"109542877","109542955",3,"109539953;109545389;109546932","109540067;109545844;109547259",0,NA,NA,1,"109539872","109539921",0,NA,NA
"211","ENST00000466280.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"121006928;121008408;121013873;121015199;121016254;121017362;121017643;121019976;121021509;121023404;121025454;121025696;121027160;121030397;121032113;121034803;121037881;121043004;121046191;121050182","121006977;121008498;121014070;121015261;121016383;121017511;121017852;121020179;121021694;121023519;121025580;121025903;121027274;121030487;121032195;121034894;121037951;121043166;121046383;121050275",1,"120952335;120953730;120956961;120960248;120961482;120962671;120962893;120963636;120969061;120970170;120971930;120974779;120976700;120979559;120980083;120981844;120982655;120989046;120989568;120991191;120996240;120997547","120952868;120953868;120957368;120960337;120961565;120962776;120962967;120963738;120969118;120970251;120971992;120974931;120976905;120979719;120980254;120981939;120982814;120989121;120989780;120991280;120996300;120997774"
"1262","ENST00000615985.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"43919699;43922217","43919739;43922287",1,"43924402;43925325;43929957;43931247;43932403;43934426;43934924","43924561;43925458;43930000;43931365;43932690;43934694;43935282",1,"43912624","43912631"
"1186","ENST00000538354.5",3,"2920763;2930906;2933418","2920922;2930939;2933530",0,NA,NA,0,NA,NA,0,NA,NA,1,"2934561","2934562",0,NA,NA,1,"2877223;2890887","2877282;2890891",1,"2939560;2940195","2939788;2941138"
"1119","ENST00000454948.3",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"82561978;82562163","82561988;82562357",1,"82483170;82490061;82496068;82502727","82485719;82490238;82496195;82502760"
"929","ENST00000652489.1",1,"65043025","65043164",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"65040901","65041106",0,NA,NA
"803","ENST00000619192.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"136410641","136410644",1,"136412810;136414553;136416291;136416951;136418017;136418555;136418828;136419044;136421832;136423095","136412965;136414647;136416904;136417214;136418109;136418673;136418918;136420933;136421976;136423761"
"565","ENST00000636950.1",1,"49476361","49476459",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"49482571;49483241","49482646;49483334",1,"49293394;49372341;49374800;49386863","49298114;49372950;49374992;49387005"
"583","ENST00000370491.7",2,"88964556;88988252","88964712;88988355",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"88992887","88992953",0,NA,NA
"387","ENST00000368399.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"155140491","155140595",0,NA,NA
"764","ENST00000464712.1",1,"120861918","120862005",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"120862749","120863026",1,"120865803;120866028;120866870;120868260;120868808;120869182;120869587;120870443;120873979;120874556;120876981;120877091;120894788","120865830;120866096;120866965;120868622;120868911;120869330;120869945;120870538;120874060;120874756;120877026;120877188;120894896",1,"120855651;120860090","120858286;120860546"
"500","ENST00000453558.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"30234450","30234477",0,NA,NA,0,NA,NA
"816","ENST00000441964.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43105939","43106079",0,NA,NA
"815","ENST00000344697.3",1,"43090488","43090609",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43079232","43079234"
"501","ENST00000455957.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"30242147;30254347;30326009","30242311;30254464;30326134",0,NA,NA
"547","ENST00000559817.1",0,NA,NA,0,NA,NA,0,NA,NA,1,"73740477;73740615","73740567;73740642",0,NA,NA,1,"73751097","73751697",1,"73752378","73752747",1,"73735431","73740256"
"951","ENST00000368902.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"151156664;151166022","151156722;151166079",1,"151169138","151170296"
