"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"1050","ENST00000669120.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"118186231","118186440",0,NA,NA
"627","ENST00000416103.2",1,"242122287","242122455",0,NA,NA,0,NA,NA,0,NA,NA,1,"242116232","242116372",1,"242130655","242130776",1,"242088633;242094887","242088801;242094894",1,"242130807;242138784;242140234;242159349;242159960","242130866;242138888;242140638;242159498;242160153"
"1179","ENST00000436087.6",1,"30999338","30999517",0,NA,NA,2,"30857680;30875331,30910360;30923287","30857778;30875509,30910440;30923388",1,"30849444","30850221",0,NA,NA,0,NA,NA,0,NA,NA,1,"30820207;30830114;30834121;30835567;30844634","30820444;30830167;30834212;30835640;30844638"
"338","ENST00000318130.13",1,"184701497","184701544",0,NA,NA,0,NA,NA,2,"184692146;184693433","184693365;184694043",1,"184732783","184732837",1,"184737711","184737736",1,"184754858","184754907",0,NA,NA
"257","ENST00000435695.1",0,NA,NA,0,NA,NA,1,"92854909;92855684","92854999;92855827",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"433","ENST00000447366.5",1,"9747833","9748073",0,NA,NA,1,"9765568;9766120","9765847;9766189",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"9725346;9739485","9725840;9739552"
"885","ENST00000447950.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"8859956","8860782",1,"8858127","8858130",1,"8862255","8864772"
"267","ENST00000621014.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"80335720;80362754;80420214;80583093;80608333;80639718;80648900;80790375;80869993;80870321","80335879;80362884;80420323;80583291;80608383;80639835;80649206;80790507;80870135;80873074",1,"80963612","80963756"
"1161","ENST00000396878.8",0,NA,NA,0,NA,NA,0,NA,NA,1,"3135110;3135387","3135132;3135445",0,NA,NA,1,"3138354","3138418",1,"3134923","3135029",0,NA,NA
"423","ENST00000399218.8",1,"32331580","32331670",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"32268765","32268768",1,"32470484","32470882",0,NA,NA
"481","ENST00000591576.5",1,"45162488","45162635",0,NA,NA,0,NA,NA,0,NA,NA,1,"45161939","45162031",0,NA,NA,1,"45161078;45161845","45161400;45161895",0,NA,NA
"528","ENST00000376112.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"31605283","31605289",1,"31606510","31606515"
"862","ENST00000492427.2",0,NA,NA,0,NA,NA,0,NA,NA,1,"31087700","31087805",0,NA,NA,0,NA,NA,1,"31088752","31089628",1,"31083425;31084119;31084558;31084780;31085110;31085964","31083809;31084335;31084703;31085024;31085260;31086015"
"1145","ENST00000520214.5",2,"134564987;134674730","134565152;134674888",0,NA,NA,1,"134594807;134599730","134594885;134599862",0,NA,NA,0,NA,NA,0,NA,NA,1,"134712845","134713049",1,"134477788","134478025"
"958","ENST00000619420.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"26291862;26293054;26346420;26357007","26292133;26293158;26346466;26357127",1,"26374327","26374383"
"583","ENST00000642864.1",2,"53237421;53239540","53237516;53239589",0,NA,NA,1,"53266324;53266969;53279155;53281496","53266764;53267064;53279776;53281612",1,"53250528","53251094",1,"53237783","53238145",0,NA,NA,0,NA,NA,1,"53228823;53232874","53231870;53232876"
"963","ENST00000590959.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"76384806","76385169",1,"76385292","76385451",1,"76376661;76379387;76381537;76382977;76384609","76376812;76379727;76381658;76383529;76384621",0,NA,NA
"498","ENST00000374843.9",1,"32952284","32952461",0,NA,NA,0,NA,NA,0,NA,NA,1,"32950084","32950519",0,NA,NA,1,"32953097;32968145;32969002","32953108;32968444;32969094",1,"32948613","32948618"
"1060","ENST00000581236.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"28725304;28725481;28725904;28726756;28727819","28725386;28725563;28726233;28726932;28727935",1,"28724348","28724358"
"530","ENST00000376377.2",0,NA,NA,0,NA,NA,0,NA,NA,1,"30744197","30744308",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"529","ENST00000259874.6",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"30744547","30744548",0,NA,NA
"988","ENST00000532881.5",1,"67310066","67310098",0,NA,NA,0,NA,NA,1,"67311591;67311664","67311625;67312382",0,NA,NA,3,"67303709;67309230;67310164","67304118;67309397;67310304",1,"67303478","67303626",1,"67312592","67312607"
"1151","ENST00000586578.1",2,"3853392;3856960","3853423;3857021",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"3855559","3855696",1,"3869015","3869038",1,"3804024;3807172;3808872;3810750;3811272;3813820;3816674;3819045;3820182;3821340;3822081;3823246;3825230;3827471;3831303;3831660;3833541;3834773","3806125;3807269;3808983;3810845;3811366;3813958;3816845;3819235;3820290;3821479;3822200;3823403;3825407;3827653;3831556;3831878;3833778;3834983"
"999","ENST00000434526.7",1,"56078922","56079039",0,NA,NA,0,NA,NA,0,NA,NA,4,"56073111;56074218;56074736;56078186","56073956;56074397;56074789;56078268",2,"56076528;56079353","56076834;56079528",0,NA,NA,0,NA,NA
"275","ENST00000421085.6",0,NA,NA,0,NA,NA,1,"10185022;10187515","10185176;10187614",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"274","ENST00000380833.9",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"10156945","10156975",0,NA,NA
"788","ENST00000356878.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"140978949;140982475;141009627","140979007;140982563;141012347"
"789","ENST00000525929.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"140836738","140837169",0,NA,NA,1,"140834248","140834269",0,NA,NA
"347","ENST00000556785.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"33948233;33985153;33987012;34018601;34092321;34169491;34462716","33951081;33985512;33987162;34018655;34092402;34169646;34462774",1,"33924227","33925511"
"289","ENST00000258415.9",1,"218805914","218806021",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"218781749","218782147",0,NA,NA
"1008","ENST00000651354.1",1,"56078922","56079039",0,NA,NA,0,NA,NA,0,NA,NA,4,"56073111;56074218;56074736;56078186","56073956;56074397;56074789;56078268",2,"56076528;56079353","56076834;56079528",0,NA,NA,1,"56080669","56080670"
"859","ENST00000585246.5",2,"32155030;32164579","32155183;32164681",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"32157111","32157637",1,"32153845","32154070",1,"32166234;32166498;32166701;32166910;32167087;32167350;32167503;32167910;32169293;32169908;32170415;32171723","32166252;32166620;32166810;32167005;32167257;32167429;32167656;32168536;32169501;32170005;32171557;32171978"
"560","ENST00000072516.7",0,NA,NA,0,NA,NA,1,"190516219;190517854;190518509;190520502;190555864;190563446","190516296;190518031;190519030;190520560;190556216;190563532",0,NA,NA,2,"190564353;190629498","190564418;190630285",0,NA,NA,0,NA,NA,0,NA,NA
"114","ENST00000463340.1",0,NA,NA,0,NA,NA,1,"80156378;80157641","80156498;80157763",0,NA,NA,0,NA,NA,0,NA,NA,1,"80158018;80159100;80161935;80163349;80163534;80164053;80166084;80166399;80167226;80168969;80170800;80171613;80172807;80176107;80181102;80195731;80204826;80205343","80158025;80159195;80162028;80163405;80163613;80164143;80166197;80166984;80167313;80169358;80170915;80171881;80173021;80176155;80181455;80195832;80204919;80205572",1,"80150889","80155588"
"1052","ENST00000413152.3",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"136765545;136882144;136906448","136765687;136882317;136906566",1,"137677717","137677718"
"1126","ENST00000351071.11",2,"50078126;50127160","50078152;50127222",0,NA,NA,0,NA,NA,0,NA,NA,1,"50126179","50126508",1,"50069510","50069547",1,"50067888","50067907",1,"50133506","50133509"
"1088","ENST00000606714.6",1,"52578502","52578594",0,NA,NA,0,NA,NA,1,"52577612","52578049",0,NA,NA,0,NA,NA,1,"52576787","52576885",1,"52583993;52588252;52596202;52640151","52584001;52590701;52596559;52643026"
"651","ENST00000579971.5",1,"47833969","47834047",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"47831634","47831691",1,"47836100;47836333;47836750","47836102;47836475;47837719"
"734","ENST00000265460.9",1,"61780712","61780792",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,"61777606;61778829;61780212;61783498","61777734;61779263;61780222;61783513",1,"61752649","61752790",1,"61788517","61788518"
"1199","ENST00000434898.6",1,"5839070","5839204",0,NA,NA,0,NA,NA,1,"5847312","5847321",0,NA,NA,0,NA,NA,1,"5823160","5823207",1,"5847743;5854107","5847867;5854365"
"526","ENST00000532505.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"20364180","20364237",1,"20363685","20363749",1,"20367513;20376580;20382178;20382980","20367625;20376717;20382239;20383783"
"817","ENST00000466780.5",0,NA,NA,0,NA,NA,2,"73401769;73402444,73433639;73474455","73401913;73402503,73433904;73474632",1,"73383806","73384469",0,NA,NA,2,"73388069;73401009","73388146;73401082",1,"73602354;73608598;73624103","73602461;73608684;73624941",1,"73382431","73383079"
"352","ENST00000539633.1",1,"31660796","31660983",0,NA,NA,0,NA,NA,0,NA,NA,1,"31659935","31660069",0,NA,NA,1,"31659187;31659688","31659362;31659711",1,"31662169;31666087;31667647","31662267;31666217;31673114"
"1182","ENST00000270617.8",1,"50040534","50040629",0,NA,NA,0,NA,NA,0,NA,NA,1,"50041819","50042784",1,"50041092","50041730",1,"50025806","50026005",1,"50053190","50053414"
"161","ENST00000440890.7",1,"95091491","95091627",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"95104355","95104408",1,"94757955;94875831;94995796","94758068;94875900;94996134",0,NA,NA
"955","ENST00000396376.5",0,NA,NA,0,NA,NA,1,"26357007;26360454;26360606","26357127;26360464;26360618",0,NA,NA,0,NA,NA,0,NA,NA,1,"26291862","26292133",1,"26374329","26374383"
"1103","ENST00000517497.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"17611855","17612160",1,"17620693;17621832;17623542;17624829;17626288;17627509;17627863;17629240;17630145;17630654;17632782;17633108;17636024;17639083;17639436;17639840;17640511;17641393;17642845;17645674;17645970;17647265;17648431;17648912;17649339;17649509;17652631;17655274;17655883;17658062;17663532;17666650;17668117;17669553;17672378;17674657;17676012;17688178","17620722;17621870;17623547;17624952;17626785;17627597;17628337;17629323;17630288;17630750;17632908;17633193;17636157;17639217;17639525;17639908;17640661;17641556;17642960;17645843;17646111;17647492;17648650;17648983;17649344;17649587;17652677;17655382;17656398;17658269;17663567;17666704;17668190;17669676;17672495;17674756;17676041;17688365",1,"17601328;17609940","17606354;17609975"
"424","ENST00000578619.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"32392895;32470308","32393035;32470882",1,"32263522;32270217;32287031","32268768;32270383;32287876"
"1022","ENST00000620628.4",3,"37407224;37436387;37450565","37407496;37436501;37450646",0,NA,NA,0,NA,NA,0,NA,NA,1,"37437829","37438073",2,"37437737;37461820","37437738;37462078",1,"37406886","37406890",1,"37478267","37479725"
"762","ENST00000442628.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"143837755","143838074",0,NA,NA,0,NA,NA
"914","ENST00000616279.4",1,"11217776","11218466",0,NA,NA,0,NA,NA,0,NA,NA,1,"11193910","11194256",1,"11195025","11195210",1,"11344585","11344636",1,"11179759","11181652"
"793","ENST00000246535.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"34404827;34409100","34404930;34409161",0,NA,NA,0,NA,NA
"929","ENST00000355697.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"119158007;119165202","119158009;119165537",0,NA,NA,0,NA,NA,0,NA,NA
"670","ENST00000475314.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25780714","25780940",1,"25617468;25654242;25686440;25709602;25746668;25749255;25753484;25758592;25763874;25771657;25772069;25775932","25618337;25654366;25686536;25710145;25746783;25749335;25753578;25761684;25763967;25771772;25772403;25776029",1,"25783976","25786207"
"554","ENST00000614243.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,"160091608;160095246;160098517","160091631;160095332;160098689",1,"160098834","160098943",1,"160091340","160091350"
"889","ENST00000398658.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"61017145","61017149",0,NA,NA,1,"61017237;61018008","61017431;61018259",1,"60940222;60945009;60948043;60952997;60953933;60954082;60955018;60960392;60961463;60962826;60965058;60965423;60967502;60971523;61006557;61008761","60942433;60945108;60948185;60953114;60953988;60954158;60955074;60960517;60961548;60962890;60965103;60965484;60967613;60971557;61006643;61009015"
"139","ENST00000374298.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25859457","25859458",1,"25831913","25832158"
"140","ENST00000538789.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25834006","25835022",0,NA,NA,0,NA,NA,0,NA,NA
"992","ENST00000448044.5",1,"187064520","187064616",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"186930502;186931352;186942348;186948684;186963785","186930834;186931394;186942427;186948938;186963926",0,NA,NA
"60","ENST00000487878.1",0,NA,NA,0,NA,NA,1,"26318966;26340365;26345711","26319102;26340516;26345814",0,NA,NA,0,NA,NA,0,NA,NA,1,"26346310;26346655","26346432;26346817",1,"26308173;26309216;26310043;26310196;26310692;26312943;26313377;26313760;26314414;26314624;26315522","26309107;26309581;26310105;26310237;26312074;26313122;26313573;26313903;26314623;26314806;26315767"
"398","ENST00000458311.6",1,"49162803","49162890",0,NA,NA,0,NA,NA,0,NA,NA,1,"49185594","49185669",1,"49175957","49175960",1,"49186644;49192754;49200255;49206067;49206778;49207868;49208292","49186769;49192894;49200441;49206172;49206874;49208160;49208636",1,"49145092","49146635"
"284","ENST00000640714.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"205073236","205073564",0,NA,NA,1,"205042968;205043193;205053100;205057208;205058181;205058431;205059084;205059583;205061245;205061865;205062440;205064322;205064623;205065087;205065789;205066441;205067101;205069491;205069827;205070426;205071947;205072483","205043042;205043394;205053255;205058065;205058356;205058663;205059293;205060687;205061420;205062001;205062569;205064472;205064750;205065262;205065909;205066599;205067250;205069561;205070061;205070808;205072133;205072595",1,"205074042","205078289"
"196","ENST00000534941.2",0,NA,NA,0,NA,NA,1,"155804051;155805597","155804173;155805723",0,NA,NA,0,NA,NA,0,NA,NA,1,"155806272","155806278",1,"155762617","155762618"
"4","ENST00000570932.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"81121505;81122535;81123194;81124727;81124930;81126427;81126658;81127583;81127792;81128470;81131061;81131902;81132656;81134368;81165682;81165938","81122426;81122823;81123343;81124848;81125014;81126560;81126817;81127670;81127910;81128925;81131205;81131948;81132847;81134501;81165814;81166221",1,"81110487","81117298"
"316","ENST00000611337.4",1,"36596828","36597013",0,NA,NA,0,NA,NA,0,NA,NA,1,"36591988","36592156",1,"36594587","36594974",1,"36591879","36591882",0,NA,NA
"766","ENST00000533093.5",0,NA,NA,0,NA,NA,0,NA,NA,1,"143839550","143839735",0,NA,NA,1,"143837755","143838074",1,"143840951","143840973",1,"143833583","143833594"
"597","ENST00000558992.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"88636153","88636170",1,"88638941;88639343;88650235;88651366;88652036;88655415","88639178;88639594;88650386;88651581;88652310;88656483"
"310","ENST00000622873.4",2,"50459640;50539915","50459684;50540028",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"50479863","50479963",0,NA,NA,1,"50458436","50458438"
"605","ENST00000424148.1",0,NA,NA,0,NA,NA,1,"1573257;1573649","1573473;1573863",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"219","ENST00000277549.9",2,"138069758;138101104","138069763;138101200",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,"137957595;138121469","137957598;138121656",0,NA,NA,1,"138122179","138124624"
"726","ENST00000376301.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25934229;25935744;25952094","25934328;25935830;25952100",1,"26021503;26024022;26026377;26066975;26068768;26070111;26070318;26088203;26096381;26096568;26120676;26125398;26128391;26143448;26145446;26147430;26153850;26154746;26157310;26166067;26168712;26170416;26173663;26176701;26193205;26200848;26201265;26202721;26202964;26204085;26211843","26023481;26024087;26026532;26067074;26068884;26070215;26070401;26088405;26096479;26096682;26120802;26125608;26128538;26143601;26145534;26147559;26153929;26154823;26157515;26166239;26168874;26170539;26174557;26176845;26193311;26201058;26201305;26202766;26203107;26204502;26212532"
"895","ENST00000591606.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,"45695437;45698480;45698782","45695633;45698547;45698801",1,"45692666","45692758",1,"45698825;45701798;45702904","45698900;45701914;45703987"
"978","ENST00000590210.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"38244035;38264573","38244134;38264696",1,"38289138;38290119;38290537;38291840","38289191;38290280;38290575;38292615"
"164","ENST00000220659.11",2,"37845686;37847274","37845774;37847341",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"93","ENST00000635768.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"111681118;111681663;111682132;111682236;111684965;111686137;111687887;111708027;111708965;111711675;111712484;111713225","111681424;111681826;111682235;111682294;111685278;111686174;111690172;111708393;111709048;111711725;111712530;111713242",1,"111717846;111718112;111720095;111721603;111722793;111723798;111724934;111726809;111727332;111727614;111728185;111730395;111730525;111734368;111735051;111736714;111743800;111744668;111752790;111757278;111759734","111717927;111718274;111720170;111721711;111722857;111723898;111725061;111727055;111727445;111727770;111728305;111730427;111730580;111734411;111735122;111736933;111743854;111744904;111753166;111757762;111760649"
"946","ENST00000518294.5",0,NA,NA,0,NA,NA,1,"20730746;20731012;20731448;20732181","20730851;20731175;20731591;20732640",0,NA,NA,1,"20727469","20727523",0,NA,NA,0,NA,NA,1,"20719732;20722756;20723626;20724083;20724349","20721995;20722915;20723734;20724251;20724631"
"136","ENST00000560096.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"89903943;89908280;89910744;89912052;89912744","89903983;89908412;89910819;89912687;89912952",1,"89895006","89901803"
"910","ENST00000315872.11",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,"11193910;11217776;11218958","11194256;11218455;11218966",2,"11195025;11217169","11195210;11217173",0,NA,NA,0,NA,NA
"1171","ENST00000622072.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43951223;43960187;43961824","43951410;43960356;43961971",1,"43967600","43967709"
"990","ENST00000169298.8",2,"187021856;187064520","187022004;187064616",0,NA,NA,1,"186931352;186942348;186948684","186931394;186942427;186948938",0,NA,NA,0,NA,NA,0,NA,NA,1,"186930502","186930526",0,NA,NA
"371","ENST00000246100.3",0,NA,NA,0,NA,NA,1,"839455;841275","839563;841316",0,NA,NA,0,NA,NA,0,NA,NA,1,"833715","833951",1,"856749","857463"
