# SignalP-5.0	Organism: Eukarya	Timestamp: 20210516120705
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000353196.5	OTHER	0.000658	0.999342	
ENST00000354026.10	OTHER	0.003707	0.996293	
ENST00000354258.4	OTHER	0.001126	0.998874	
ENST00000356763.8	OTHER	0.000870	0.999130	
ENST00000357154.7	SP(Sec/SPI)	0.907582	0.092418	CS pos: 21-22. SLA-AA. Pr: 0.2992
ENST00000357443.2	OTHER	0.001418	0.998582	
ENST00000357545.9	SP(Sec/SPI)	0.916524	0.083476	CS pos: 21-22. SLA-AA. Pr: 0.2997
ENST00000358514.9	OTHER	0.001447	0.998553	
ENST00000358655.8	OTHER	0.009492	0.990508	
ENST00000359001.9	OTHER	0.001639	0.998361	
ENST00000359213.7	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000359782.8	OTHER	0.001199	0.998801	
ENST00000360258.8	OTHER	0.000785	0.999215	
ENST00000360295.13	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000360639.6	OTHER	0.004209	0.995791	
ENST00000360675.7	OTHER	0.033023	0.966977	
ENST00000361099.8	OTHER	0.000456	0.999544	
ENST00000361157.11	SP(Sec/SPI)	0.996674	0.003326	CS pos: 23-24. VEA-GK. Pr: 0.9430
ENST00000361384.7	OTHER	0.000455	0.999545	
ENST00000361462.7	OTHER	0.076000	0.924000	
ENST00000361493.10	OTHER	0.001721	0.998279	
ENST00000361530.11	OTHER	0.000947	0.999053	
ENST00000361577.7	OTHER	0.076000	0.924000	
ENST00000361690.7	OTHER	0.000340	0.999660	
ENST00000361757.8	OTHER	0.005076	0.994924	
ENST00000362020.4	SP(Sec/SPI)	0.998051	0.001949	CS pos: 23-24. VEA-GE. Pr: 0.9491
ENST00000367393.8	OTHER	0.003664	0.996336	
ENST00000368134.6	OTHER	0.000501	0.999499	
ENST00000368399.1	OTHER	0.040394	0.959606	
ENST00000368400.5	SP(Sec/SPI)	0.640522	0.359478	CS pos: 27-28. ALG-LE. Pr: 0.2992
ENST00000368902.1	OTHER	0.001009	0.998991	
ENST00000368905.9	OTHER	0.000733	0.999267	
ENST00000369261.9	OTHER	0.001453	0.998547	
ENST00000369305.1	OTHER	0.000455	0.999545	
ENST00000369644.5	OTHER	0.000318	0.999682	
ENST00000369645.5	OTHER	0.001418	0.998582	
ENST00000369649.8	OTHER	0.356984	0.643016	
ENST00000369750.4	SP(Sec/SPI)	0.617268	0.382732	CS pos: 38-39. SSA-SS. Pr: 0.1671
ENST00000370016.5	OTHER	0.000303	0.999697	
ENST00000370028.7	OTHER	0.000303	0.999697	
ENST00000370236.5	OTHER	0.000656	0.999344	
ENST00000370238.8	OTHER	0.001752	0.998248	
ENST00000370250.8	SP(Sec/SPI)	0.963262	0.036738	CS pos: 17-18. ATA-VP. Pr: 0.5580
ENST00000370486.1	OTHER	0.001217	0.998783	
ENST00000370491.7	OTHER	0.000977	0.999023	
ENST00000370584.7	OTHER	0.000719	0.999281	
ENST00000370586.6	OTHER	0.001444	0.998556	
ENST00000371717.8	OTHER	0.000860	0.999140	
ENST00000371741.6	OTHER	0.000361	0.999639	
ENST00000371975.9	OTHER	0.002378	0.997622	
ENST00000372037.8	SP(Sec/SPI)	0.959366	0.040634	CS pos: 23-24. VQG-QN. Pr: 0.9523
ENST00000373008.6	SP(Sec/SPI)	0.984832	0.015168	CS pos: 17-18. SLA-HP. Pr: 0.8664
ENST00000373808.8	OTHER	0.001022	0.998978	
ENST00000373818.8	SP(Sec/SPI)	0.957261	0.042739	CS pos: 27-28. VRA-AT. Pr: 0.6772
ENST00000373823.7	OTHER	0.001536	0.998464	
ENST00000373825.7	OTHER	0.001213	0.998787	
ENST00000373896.8	OTHER	0.000807	0.999193	
ENST00000374043.6	OTHER	0.000359	0.999641	
ENST00000374253.9	OTHER	0.000947	0.999053	
ENST00000374259.8	OTHER	0.001852	0.998148	
ENST00000375040.8	OTHER	0.000672	0.999328	
ENST00000375043.3	OTHER	0.000672	0.999328	
ENST00000375238.8	OTHER	0.058161	0.941839	
ENST00000376417.8	OTHER	0.031095	0.968905	
ENST00000376419.5	OTHER	0.018649	0.981351	
ENST00000377245.9	OTHER	0.001309	0.998691	
ENST00000377791.3	OTHER	0.000762	0.999238	
ENST00000378223.3	OTHER	0.003705	0.996295	
ENST00000378230.8	OTHER	0.003705	0.996295	
ENST00000379250.10	OTHER	0.003046	0.996954	
ENST00000379262.8	OTHER	0.001199	0.998801	
ENST00000379510.5	OTHER	0.000455	0.999545	
ENST00000379822.5	OTHER	0.000280	0.999720	
ENST00000379965.8	OTHER	0.001265	0.998735	
ENST00000381890.9	OTHER	0.002741	0.997259	
ENST00000382149.9	OTHER	0.005132	0.994868	
ENST00000382150.8	OTHER	0.119437	0.880563	
ENST00000382152.7	OTHER	0.000416	0.999584	
ENST00000382254.6	SP(Sec/SPI)	0.920993	0.079007	CS pos: 20-21. GLL-TP. Pr: 0.5751
ENST00000382373.4	OTHER	0.007610	0.992390	
ENST00000382873.8	OTHER	0.000674	0.999326	
ENST00000383779.8	OTHER	0.000668	0.999332	
ENST00000388795.9	OTHER	0.067560	0.932440	
ENST00000389124.6	OTHER	0.168437	0.831563	
ENST00000389125.7	OTHER	0.168437	0.831563	
ENST00000389912.7	OTHER	0.062789	0.937211	
ENST00000392052.8	OTHER	0.041042	0.958958	
ENST00000392323.6	OTHER	0.001283	0.998717	
ENST00000392522.7	OTHER	0.003964	0.996036	
ENST00000392523.8	OTHER	0.003964	0.996036	
ENST00000392527.5	OTHER	0.163997	0.836003	
ENST00000392769.6	OTHER	0.000630	0.999370	
ENST00000392882.7	OTHER	0.002485	0.997515	
ENST00000393252.3	OTHER	0.003365	0.996635	
ENST00000393256.8	OTHER	0.003365	0.996635	
ENST00000393387.5	OTHER	0.000308	0.999692	
ENST00000393586.1	OTHER	0.001896	0.998104	
ENST00000393587.4	OTHER	0.356984	0.643016	
ENST00000393708.3	OTHER	0.002181	0.997819	
ENST00000393765.7	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000393896.6	OTHER	0.000658	0.999342	
ENST00000394198.7	OTHER	0.000785	0.999215	
ENST00000394236.9	SP(Sec/SPI)	0.996301	0.003699	CS pos: 24-25. SEA-NF. Pr: 0.9522
ENST00000394353.7	OTHER	0.000374	0.999626	
ENST00000394890.6	SP(Sec/SPI)	0.984832	0.015168	CS pos: 17-18. SLA-HP. Pr: 0.8664
ENST00000394987.5	OTHER	0.004209	0.995791	
ENST00000395091.2	OTHER	0.003070	0.996930	
ENST00000395135.7	OTHER	0.003707	0.996293	
ENST00000395901.6	OTHER	0.000410	0.999590	
ENST00000395930.6	OTHER	0.008865	0.991135	
ENST00000395931.6	OTHER	0.008865	0.991135	
ENST00000396914.4	OTHER	0.002407	0.997593	
ENST00000397176.6	OTHER	0.004359	0.995641	
ENST00000398598.8	OTHER	0.003411	0.996589	
ENST00000398846.6	OTHER	0.001185	0.998815	
ENST00000398965.5	OTHER	0.002193	0.997807	
ENST00000399126.1	OTHER	0.005627	0.994373	
ENST00000399127.5	OTHER	0.005627	0.994373	
ENST00000399132.6	OTHER	0.005627	0.994373	
ENST00000399907.5	OTHER	0.168437	0.831563	
ENST00000399909.5	OTHER	0.168437	0.831563	
ENST00000399913.5	OTHER	0.168437	0.831563	
ENST00000399914.5	OTHER	0.168437	0.831563	
ENST00000401401.7	OTHER	0.001849	0.998151	
ENST00000402259.5	OTHER	0.000348	0.999652	
ENST00000402271.5	OTHER	0.000235	0.999765	
ENST00000404040.5	OTHER	0.000235	0.999765	
ENST00000404127.6	OTHER	0.000303	0.999697	
ENST00000404129.6	OTHER	0.007380	0.992620	
ENST00000404548.5	OTHER	0.000235	0.999765	
ENST00000404752.5	OTHER	0.000913	0.999087	
ENST00000404774.7	OTHER	0.001849	0.998151	
ENST00000404953.7	OTHER	0.002850	0.997150	
ENST00000405478.5	OTHER	0.000622	0.999378	
ENST00000405885.6	OTHER	0.000395	0.999605	
ENST00000405953.5	OTHER	0.002880	0.997120	
ENST00000405990.3	OTHER	0.016329	0.983671	
ENST00000406226.1	OTHER	0.000913	0.999087	
ENST00000406755.5	OTHER	0.001849	0.998151	
ENST00000406861.6	OTHER	0.002741	0.997259	
ENST00000407689.8	OTHER	0.002850	0.997150	
ENST00000408923.8	OTHER	0.001378	0.998622	
ENST00000409465.5	OTHER	0.000456	0.999544	
ENST00000409619.6	OTHER	0.001211	0.998789	
ENST00000409709.9	OTHER	0.001456	0.998544	
ENST00000412584.6	OTHER	0.000374	0.999626	
ENST00000413052.6	OTHER	0.001418	0.998582	
ENST00000413778.5	OTHER	0.002221	0.997779	
ENST00000414139.5	OTHER	0.002824	0.997176	
ENST00000415484.5	OTHER	0.003116	0.996884	
ENST00000416784.5	OTHER	0.002824	0.997176	
ENST00000417963.5	OTHER	0.003411	0.996589	
ENST00000418388.6	OTHER	0.002084	0.997916	
ENST00000419155.5	OTHER	0.001256	0.998744	
ENST00000420054.5	OTHER	0.001737	0.998263	
ENST00000420410.5	OTHER	0.002824	0.997176	
ENST00000421236.5	OTHER	0.029772	0.970228	
ENST00000421892.5	OTHER	0.002088	0.997912	
ENST00000421993.5	OTHER	0.000668	0.999332	
ENST00000422091.1	OTHER	0.000501	0.999499	
ENST00000422591.5	OTHER	0.000668	0.999332	
ENST00000422774.2	SP(Sec/SPI)	0.828302	0.171698	CS pos: 60-61. ASC-AP. Pr: 0.7467
ENST00000422918.5	OTHER	0.002540	0.997460	
ENST00000423325.6	OTHER	0.003410	0.996590	
ENST00000424173.6	OTHER	0.000414	0.999586	
ENST00000424365.5	OTHER	0.003411	0.996589	
ENST00000425430.5	OTHER	0.001663	0.998337	
ENST00000425490.5	OTHER	0.001265	0.998735	
ENST00000425654.7	OTHER	0.000455	0.999545	
ENST00000426274.5	OTHER	0.002716	0.997284	
ENST00000427335.6	OTHER	0.001040	0.998960	
ENST00000427587.9	OTHER	0.001570	0.998430	
ENST00000427614.5	OTHER	0.163997	0.836003	
ENST00000427926.6	OTHER	0.000569	0.999431	
ENST00000429722.3	OTHER	0.001614	0.998386	
ENST00000430340.5	OTHER	0.003161	0.996839	
ENST00000430379.5	OTHER	0.017317	0.982683	
ENST00000431051.5	OTHER	0.001866	0.998134	
ENST00000431126.1	OTHER	0.001282	0.998718	
ENST00000431941.6	OTHER	0.000979	0.999021	
ENST00000432226.5	OTHER	0.001536	0.998464	
ENST00000432805.5	OTHER	0.163997	0.836003	
ENST00000433753.4	SP(Sec/SPI)	0.968925	0.031075	CS pos: 24-25. GSA-AP. Pr: 0.7886
ENST00000433805.6	OTHER	0.038207	0.961793	
ENST00000434848.5	OTHER	0.001467	0.998533	
ENST00000435786.6	OTHER	0.003707	0.996293	
ENST00000436309.5	OTHER	0.000807	0.999193	
ENST00000436511.2	OTHER	0.000830	0.999170	
ENST00000437379.2	OTHER	0.000622	0.999378	
ENST00000437473.6	OTHER	0.000414	0.999586	
ENST00000437477.6	OTHER	0.000501	0.999499	
ENST00000437654.5	OTHER	0.000395	0.999605	
ENST00000438103.6	OTHER	0.004627	0.995373	
ENST00000439090.7	OTHER	0.000501	0.999499	
ENST00000439478.5	OTHER	0.058161	0.941839	
ENST00000439674.1	OTHER	0.002752	0.997248	
ENST00000440112.2	OTHER	0.001614	0.998386	
ENST00000440172.5	SP(Sec/SPI)	0.828302	0.171698	CS pos: 60-61. ASC-AP. Pr: 0.7467
ENST00000440264.5	OTHER	0.012885	0.987115	
ENST00000440381.5	SP(Sec/SPI)	0.984832	0.015168	CS pos: 17-18. SLA-HP. Pr: 0.8664
ENST00000440964.1	OTHER	0.051304	0.948696	
ENST00000441020.7	OTHER	0.000979	0.999021	
ENST00000441369.6	OTHER	0.000655	0.999345	
ENST00000441964.1	OTHER	0.236953	0.763047	
ENST00000442262.5	OTHER	0.000501	0.999499	
ENST00000442608.7	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000443229.5	OTHER	0.163997	0.836003	
ENST00000443314.5	OTHER	0.000979	0.999021	
ENST00000443466.1	OTHER	0.000744	0.999256	
ENST00000443585.6	OTHER	0.003833	0.996167	
ENST00000444616.5	OTHER	0.002193	0.997807	
ENST00000444866.5	OTHER	0.001040	0.998960	
ENST00000444897.2	OTHER	0.001657	0.998343	
ENST00000446613.6	OTHER	0.000622	0.999378	
ENST00000447366.5	OTHER	0.001282	0.998718	
ENST00000447367.6	OTHER	0.000884	0.999116	
ENST00000447886.1	OTHER	0.001812	0.998188	
ENST00000447934.1	OTHER	0.008827	0.991173	
ENST00000448120.7	OTHER	0.000442	0.999558	
ENST00000448464.6	OTHER	0.000797	0.999203	
ENST00000448637.5	OTHER	0.002824	0.997176	
ENST00000449022.7	OTHER	0.000374	0.999626	
ENST00000449733.7	OTHER	0.010316	0.989684	
ENST00000449862.7	OTHER	0.075141	0.924859	
ENST00000449918.1	OTHER	0.000569	0.999431	
ENST00000450366.7	OTHER	0.000979	0.999021	
ENST00000450383.1	OTHER	0.001289	0.998711	
ENST00000450670.5	OTHER	0.000509	0.999491	
ENST00000451445.6	OTHER	0.000668	0.999332	
ENST00000451719.5	OTHER	0.008201	0.991799	
ENST00000452231.5	OTHER	0.000490	0.999510	
ENST00000453304.6	SP(Sec/SPI)	0.672656	0.327344	CS pos: 29-30. ALA-LL. Pr: 0.1512
ENST00000453867.7	OTHER	0.000655	0.999345	
ENST00000453868.5	OTHER	0.001256	0.998744	
ENST00000453912.1	OTHER	0.356984	0.643016	
ENST00000454393.5	OTHER	0.001735	0.998265	
ENST00000454789.5	OTHER	0.002834	0.997166	
ENST00000454828.5	OTHER	0.001265	0.998735	
ENST00000454948.3	OTHER	0.092877	0.907123	
ENST00000455454.5	OTHER	0.163997	0.836003	
ENST00000455577.6	OTHER	0.000655	0.999345	
ENST00000456194.6	OTHER	0.000668	0.999332	
ENST00000456560.6	OTHER	0.002991	0.997009	
ENST00000457242.1	OTHER	0.003307	0.996693	
ENST00000457447.6	OTHER	0.000668	0.999332	
ENST00000457563.6	OTHER	0.000875	0.999125	
ENST00000458008.8	OTHER	0.001570	0.998430	
ENST00000458169.2	OTHER	0.009730	0.990270	
ENST00000458188.2	OTHER	0.002088	0.997912	
ENST00000458637.6	OTHER	0.001456	0.998544	
ENST00000461052.5	OTHER	0.000501	0.999499	
ENST00000461667.1	OTHER	0.001154	0.998846	
ENST00000461761.5	OTHER	0.002741	0.997259	
ENST00000467482.6	OTHER	0.005714	0.994286	
ENST00000467604.5	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000469383.2	OTHER	0.007380	0.992620	
ENST00000469835.6	OTHER	0.002378	0.997622	
ENST00000472684.2	OTHER	0.009594	0.990406	
ENST00000472768.5	OTHER	0.002467	0.997533	
ENST00000473040.6	OTHER	0.005710	0.994290	
ENST00000473285.5	OTHER	0.004962	0.995038	
ENST00000475086.5	OTHER	0.002307	0.997693	
ENST00000476613.1	OTHER	0.000395	0.999605	
ENST00000476687.2	OTHER	0.001630	0.998370	
ENST00000477279.1	OTHER	0.002558	0.997442	
ENST00000479150.5	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000479548.2	SP(Sec/SPI)	0.975572	0.024428	CS pos: 26-27. TKG-QK. Pr: 0.4948
ENST00000480152.2	SP(Sec/SPI)	0.840618	0.159382	CS pos: 23-24. VQG-QN. Pr: 0.8327
ENST00000480814.5	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000481077.6	OTHER	0.003489	0.996511	
ENST00000481385.6	OTHER	0.000285	0.999715	
ENST00000483209.5	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000485616.5	OTHER	0.002741	0.997259	
ENST00000486047.5	OTHER	0.002741	0.997259	
ENST00000487113.1	SP(Sec/SPI)	0.975572	0.024428	CS pos: 26-27. TKG-QK. Pr: 0.4948
ENST00000487761.5	OTHER	0.001002	0.998998	
ENST00000488269.5	OTHER	0.000501	0.999499	
ENST00000488489.5	OTHER	0.041705	0.958295	
ENST00000490358.5	SP(Sec/SPI)	0.975572	0.024428	CS pos: 26-27. TKG-QK. Pr: 0.4948
ENST00000492239.5	OTHER	0.004245	0.995755	
ENST00000492353.5	OTHER	0.004808	0.995192	
ENST00000493032.5	OTHER	0.061620	0.938380	
ENST00000493530.2	OTHER	0.002727	0.997273	
ENST00000493985.5	OTHER	0.061620	0.938380	
ENST00000494368.5	OTHER	0.004245	0.995755	
ENST00000497820.1	OTHER	0.001682	0.998318	
ENST00000503097.1	OTHER	0.012901	0.987099	
ENST00000503573.5	OTHER	0.001302	0.998698	
ENST00000503684.5	OTHER	0.000830	0.999170	
ENST00000504376.6	SP(Sec/SPI)	0.920993	0.079007	CS pos: 20-21. GLL-TP. Pr: 0.5751
ENST00000504921.7	OTHER	0.000414	0.999586	
ENST00000504953.5	SP(Sec/SPI)	0.916524	0.083476	CS pos: 21-22. SLA-AA. Pr: 0.2997
ENST00000504962.1	SP(Sec/SPI)	0.672656	0.327344	CS pos: 29-30. ALA-LL. Pr: 0.1512
ENST00000505486.1	OTHER	0.001162	0.998838	
ENST00000506749.5	SP(Sec/SPI)	0.672656	0.327344	CS pos: 29-30. ALA-LL. Pr: 0.1512
ENST00000506886.5	SP(Sec/SPI)	0.907582	0.092418	CS pos: 21-22. SLA-AA. Pr: 0.2992
ENST00000507292.1	OTHER	0.005115	0.994885	
ENST00000507330.5	OTHER	0.001444	0.998556	
ENST00000507612.1	OTHER	0.005297	0.994703	
ENST00000507909.1	OTHER	0.001081	0.998919	
ENST00000508273.5	OTHER	0.001444	0.998556	
ENST00000508569.5	OTHER	0.000414	0.999586	
ENST00000508628.6	OTHER	0.002428	0.997572	
ENST00000508701.5	OTHER	0.075141	0.924859	
ENST00000509207.1	OTHER	0.001639	0.998361	
ENST00000509330.5	OTHER	0.000308	0.999692	
ENST00000509876.5	OTHER	0.000308	0.999692	
ENST00000511531.5	SP(Sec/SPI)	0.907582	0.092418	CS pos: 21-22. SLA-AA. Pr: 0.2992
ENST00000511743.5	OTHER	0.010788	0.989212	
ENST00000512430.1	OTHER	0.001444	0.998556	
ENST00000512445.5	OTHER	0.000818	0.999182	
ENST00000512648.5	SP(Sec/SPI)	0.916524	0.083476	CS pos: 21-22. SLA-AA. Pr: 0.2997
ENST00000513371.1	OTHER	0.002193	0.997807	
ENST00000513602.5	OTHER	0.001991	0.998009	
ENST00000514314.5	OTHER	0.000785	0.999215	
ENST00000514822.1	OTHER	0.000709	0.999291	
ENST00000515594.5	OTHER	0.001401	0.998599	
ENST00000515780.6	OTHER	0.075141	0.924859	
ENST00000518684.1	OTHER	0.005277	0.994723	
ENST00000518805.5	OTHER	0.001329	0.998671	
ENST00000519418.5	OTHER	0.000409	0.999591	
ENST00000519649.5	SP(Sec/SPI)	0.963262	0.036738	CS pos: 17-18. ATA-VP. Pr: 0.5580
ENST00000520368.5	OTHER	0.007207	0.992793	
ENST00000521006.5	SP(Sec/SPI)	0.963262	0.036738	CS pos: 17-18. ATA-VP. Pr: 0.5580
ENST00000521676.5	OTHER	0.001957	0.998043	
ENST00000522202.5	OTHER	0.000448	0.999552	
ENST00000522262.1	SP(Sec/SPI)	0.920993	0.079007	CS pos: 20-21. GLL-TP. Pr: 0.5751
ENST00000522276.1	OTHER	0.057783	0.942217	
ENST00000522420.5	OTHER	0.001957	0.998043	
ENST00000524307.5	OTHER	0.001140	0.998860	
ENST00000524930.1	OTHER	0.006585	0.993415	
ENST00000525158.1	OTHER	0.001270	0.998730	
ENST00000525587.1	OTHER	0.001270	0.998730	
ENST00000525687.5	OTHER	0.000947	0.999053	
ENST00000527595.5	OTHER	0.001424	0.998576	
ENST00000527729.5	OTHER	0.000991	0.999009	
ENST00000527748.5	OTHER	0.007380	0.992620	
ENST00000527845.1	OTHER	0.031620	0.968380	
ENST00000528174.5	OTHER	0.001424	0.998576	
ENST00000528287.5	OTHER	0.001682	0.998318	
ENST00000529568.5	OTHER	0.001424	0.998576	
ENST00000529704.5	OTHER	0.010063	0.989937	
ENST00000529718.1	SP(Sec/SPI)	0.721337	0.278663	CS pos: 17-18. VLA-LI. Pr: 0.2760
ENST00000530584.5	OTHER	0.010063	0.989937	
ENST00000530832.5	OTHER	0.001735	0.998265	
ENST00000531072.1	OTHER	0.001185	0.998815	
ENST00000531191.5	OTHER	0.001901	0.998099	
ENST00000531239.2	OTHER	0.010063	0.989937	
ENST00000531544.5	OTHER	0.000501	0.999499	
ENST00000532309.5	OTHER	0.000501	0.999499	
ENST00000532830.5	OTHER	0.010063	0.989937	
ENST00000532838.1	OTHER	0.004272	0.995728	
ENST00000533227.5	OTHER	0.000230	0.999770	
ENST00000533522.1	OTHER	0.159759	0.840241	
ENST00000533549.1	OTHER	0.001424	0.998576	
ENST00000534928.5	OTHER	0.000676	0.999324	
ENST00000535040.4	SP(Sec/SPI)	0.617268	0.382732	CS pos: 38-39. SSA-SS. Pr: 0.1671
ENST00000535342.7	OTHER	0.000630	0.999370	
ENST00000535728.5	OTHER	0.003029	0.996971	
ENST00000535796.1	OTHER	0.000496	0.999504	
ENST00000535979.5	OTHER	0.000583	0.999417	
ENST00000536146.1	OTHER	0.008865	0.991135	
ENST00000536358.1	OTHER	0.001614	0.998386	
ENST00000537949.5	OTHER	0.000630	0.999370	
ENST00000538354.5	OTHER	0.009845	0.990155	
ENST00000538446.5	OTHER	0.000583	0.999417	
ENST00000538621.2	OTHER	0.001270	0.998730	
ENST00000539200.5	OTHER	0.000973	0.999027	
ENST00000539225.2	OTHER	0.000959	0.999041	
ENST00000539245.5	OTHER	0.001068	0.998932	
ENST00000539316.1	OTHER	0.008865	0.991135	
ENST00000539722.5	OTHER	0.001824	0.998176	
ENST00000540176.6	OTHER	0.000456	0.999544	
